home_team,away_team,home_team_goals,away_team_goals,match_date
hamilton,hearts,0,3,2018-01-24T19:45:00+00:00
motherwell,ross county,2,0,2018-01-24T19:45:00+00:00
rangers,aberdeen,2,0,2018-01-24T19:45:00+00:00
partick thistle,celtic,1,2,2018-01-23T19:45:00+00:00
aberdeen,hearts,0,0,2017-12-30T15:00:00+00:00
hibernian,kilmarnock,1,1,2017-12-30T15:00:00+00:00
motherwell,hamilton,1,3,2017-12-30T15:00:00+00:00
partick thistle,ross county,2,0,2017-12-30T15:00:00+00:00
st. johnstone,dundee fc,0,2,2017-12-30T15:00:00+00:00
celtic,rangers,0,0,2017-12-30T12:00:00+00:00
aberdeen,partick thistle,1,0,2017-12-27T19:45:00+00:00
hearts,hibernian,0,0,2017-12-27T19:45:00+00:00
rangers,motherwell,2,0,2017-12-27T19:45:00+00:00
ross county,st. johnstone,1,1,2017-12-27T19:45:00+00:00
dundee fc,celtic,0,2,2017-12-26T12:30:00+00:00
celtic,aberdeen,3,0,2017-12-23T15:00:00+00:00
hibernian,ross county,2,1,2017-12-23T15:00:00+00:00
motherwell,dundee fc,1,1,2017-12-23T15:00:00+00:00
partick thistle,hamilton,1,0,2017-12-23T15:00:00+00:00
st. johnstone,hearts,0,0,2017-12-23T15:00:00+00:00
kilmarnock,rangers,2,1,2017-12-23T12:30:00+00:00
celtic,partick thistle,2,0,2017-12-20T19:45:00+00:00
hearts,celtic,4,0,2017-12-17T12:30:00+00:00
dundee fc,partick thistle,3,0,2017-12-16T15:00:00+00:00
hamilton,ross county,3,2,2017-12-16T15:00:00+00:00
kilmarnock,motherwell,1,0,2017-12-16T15:00:00+00:00
rangers,st. johnstone,1,3,2017-12-16T15:00:00+00:00
aberdeen,hibernian,4,1,2017-12-16T12:30:00+00:00
celtic,hamilton,3,1,2017-12-13T19:45:00+00:00
hibernian,rangers,1,2,2017-12-13T19:45:00+00:00
partick thistle,motherwell,3,2,2017-12-13T19:45:00+00:00
st. johnstone,aberdeen,0,3,2017-12-13T19:45:00+00:00
hearts,dundee fc,2,0,2017-12-12T19:45:00+00:00
ross county,kilmarnock,2,2,2017-12-12T19:45:00+00:00
hibernian,celtic,2,2,2017-12-10T12:30:00+00:00
hamilton,st. johnstone,0,1,2017-12-09T15:00:00+00:00
hearts,motherwell,1,0,2017-12-09T15:00:00+00:00
kilmarnock,partick thistle,5,1,2017-12-09T15:00:00+00:00
rangers,ross county,2,1,2017-12-09T15:00:00+00:00
dundee fc,aberdeen,0,1,2017-12-08T19:45:00+00:00
aberdeen,rangers,1,2,2017-12-03T12:30:00+00:00
celtic,motherwell,5,1,2017-12-02T15:00:00+00:00
hearts,hamilton,1,1,2017-12-02T15:00:00+00:00
partick thistle,hibernian,0,1,2017-12-02T15:00:00+00:00
ross county,dundee fc,0,2,2017-12-02T15:00:00+00:00
st. johnstone,kilmarnock,1,2,2017-12-02T15:00:00+00:00
motherwell,celtic,1,1,2017-11-29T19:45:00+00:00
rangers,aberdeen,3,0,2017-11-29T19:45:00+00:00
kilmarnock,aberdeen,1,3,2017-11-26T12:30:00+00:00
hamilton,hibernian,1,1,2017-11-25T15:00:00+00:00
hearts,ross county,0,0,2017-11-25T15:00:00+00:00
dundee fc,rangers,2,1,2017-11-24T19:45:00+00:00
hearts,partick thistle,1,1,2017-11-19T15:00:00+00:00
aberdeen,motherwell,0,2,2017-11-18T15:00:00+00:00
dundee fc,kilmarnock,0,0,2017-11-18T15:00:00+00:00
hibernian,st. johnstone,1,2,2017-11-18T15:00:00+00:00
rangers,hamilton,0,2,2017-11-18T15:00:00+00:00
ross county,celtic,0,1,2017-11-18T12:30:00+00:00
hearts,kilmarnock,1,2,2017-11-05T15:00:00+00:00
hamilton,aberdeen,2,2,2017-11-04T15:00:00+00:00
hibernian,dundee fc,2,1,2017-11-04T15:00:00+00:00
rangers,partick thistle,3,0,2017-11-04T15:00:00+00:00
